ID,NAME,URL_MOVIE,URL_IMAGE,DIFFICULTY,TYPE
ffb7185e-ceb0-42d9-8d28-c155c97b39ec,Wyciskanie sztangi na ławce poziomej,https://static.fabrykasily.pl/atlas/wyciskanie_sztangi_na_lawce_plaskiej.mp4,bench_press,MEDIUM,CHEST
04265eea-7936-4f06-a9c8-a6f8c782b8d1,Spacer Farmera,https://static.fabrykasily.pl/atlas/video-spacer-farmera.mp4,farmer,EASY,LEGS
4f92b532-a70b-44b7-b5a4-d87a692c9d2c,Martwy Ciąg,https://static.fabrykasily.pl/atlas/klasyczny_martwy_ciag_fabryka.mp4,martwy_ciag,EXTREME,BACK
74dff9b3-f931-446b-97ae-1cdbf2bdf2fa,Plank,https://static.fabrykasily.pl/atlas/deska_scianka_plank.mp4,plank,EASY,ABS
3ec54b2b-a46c-4bb0-b301-612757448915,Podciąganie na drązku trzymanym podchwytem,https://static.fabrykasily.pl/atlas/podciaganie_na_drazku_trzymanym_podchwytem.mp4,podciaganie_podchwyt,HARD,BACK
9d913d00-3848-40e0-9137-99a9a653ad0d,Przyciąganie końca sztangi jednorącz w opadzie tułowia,https://static.fabrykasily.pl/atlas/przyciaganie_konca_sztangi_jednoracz_w_opadzie_tulowia.mp4,przyciaganie_jednoracz_opad,MEDIUM,BACK
5f667ea1-8c04-4873-a05b-2624b7e01bd1,Unoszenie tułowia na ławce rzymskiej,https://static.fabrykasily.pl/atlas/unoszenie_tulowia_na_lawce_rzymskiej.mp4,rzymska,EASY,BACK
19867305-45b8-48d7-b9bb-05ecc7aab9a1,Superman na TRX,https://static.fabrykasily.pl/atlas/superman_trx.mp4,superman_trx,HARD,ABS
028a02fa-6b99-46ea-a424-f99147de9705,Trap Y raise,https://static.fabrykasily.pl/atlas/trap_y_raise.mp4,trap_y_raise,HARD,BACK
2a07fc31-144c-49a6-801d-c1eb78a7a6b8,Wiosło Pendlaya,MOVIE,wioslo_pendlaya,MEDIUM,BACK
6c0bbf78-cc79-4924-a846-8f933c08b96c,Wiosłowanie gumą,MOVIE,wioslowanie_guma,EASY,BACK
ae74e8af-7255-46a5-ba44-7d836acb7b97,Prostowanie ramion z gumą,MOVIE,prostowanie_ramion,EASY,TRICEPS
